P,-7
x,85
h,-2
B,-7
U,-1
Q,-3
R,-8
W,74
l,11
l,-9
Q,-4
L,-4
g,-9
D,90
z,11
n,79
k,-4
f,15
e,49
Q,-1
P,10
D,41
s,90
i,17
N,11
y,73
K,-9
f,58
i,92
v,-2
n,11
y,-1
K,40
H,10
s,-4
w,63
S,10
A,-8
z,28
C,10
J,-1
n,90
R,-1
B,-4
Q,76
X,88
j,84
G,87
q,23
q,43
L,-8
F,83
S,-5
X,65
p,39
W,-8
c,19
C,16
H,36
T,-8
D,74
D,-1
V,95
o,-2
G,10
P,-8
V,3
D,-4
S,-2
,62
Q,12
c,-3
h,-1
u,25
X,49
Q,61
u,-9
d,-6
M,-1
R,82
g,61
R,80
W,-1
P,96
a,76
K,30
W,50
T,14
n,-2
V,21
d,-5
Q,11
e,37
P,-9
V,72
P,-2
M,-3
n,10
u,-8
t,82
G,36
P,87
h,-9
f,19
s,-5
E,-4
b,62
m,-4
x,-9
X,25
b,20
V,-7
x,77
Z,-5
M,-3
w,10
e,10
T,55
A,-1
T,-2
g,68
Y,52
O,85
M,24
N,-2
K,-1
l,-6
V,-7
L,28
Q,8
z,-3
w,35
v,-1
b,-1
e,30
Z,85
M,11
b,-6
j,12
h,4
r,-7
b,50
c,95
E,-9
A,11
y,11
G,-1
A,-3
b,-2
d,17
X,51
q,41
k,-1
w,-1
G,52
a,-9
M,-6
e,-2
a,16
m,10
z,-5
P,-6
q,-1
d,88
H,90
s,-1
a,-4
x,10
C,-8
X,-5
E,-1
x,10
G,37
j,11
T,52
m,-2
n,83
B,40
l,12
R,-2
k,59
G,25
L,63
J,26
L,-5
u,84
z,-3
e,71
n,16
B,89
V,-1
a,15
P,70
j,10
H,-8
d,14
B,74
n,94
c,99
l,36
y,59
P,91
H,41
x,69
U,11
Z,27
S,-5
z,79
D,10
O,-1
q,-1
Y,74
t,10
Z,-5
f,-7
l,8
g,14
e,47
B,-2
o,12
l,79
h,32
n,92
p,-6
I,98
Z,-1
W,89
S,-9
Y,8
r,-2
b,-5
q,-1
J,57
s,-4
L,-5
V,-4
Z,8
z,69
O,-1
y,-4
U,43
U,-3
k,-1
Z,4
I,59
r,-7
v,68
a,69
i,-4
z,10
F,-7
u,73
w,98
E,-1
H,-3
I,27
L,11
r,65
s,80
x,-5
P,11
K,-9
G,56
n,12
n,-2
s,10
u,-3
z,-5
Z,58
t,-8
f,61
g,22
H,-1
D,57
Z,64
M,-1
,933
g,92
Q,-1
Q,-9
Y,8
,535
r,-5
H,58
q,11
G,-2
g,-4
M,47
I,11
G,-7
g,-8
G,-7
u,-1
a,-6
R,93
i,79
K,-4
i,36
F,70
m,34
j,-7
,-38
M,37
H,63
L,76
H,-1
c,53
c,-6
T,-2
r,-4
_,11
J,-5
N,47
a,-9
d,-2
N,-4
H,-1
V,79
x,-1
V,-7
y,-6
,-29
K,87
G,83
T,31
z,-6
u,-6
O,52
T,66
T,-5
M,-9
B,14
K,39
e,-1
N,11
O,-1
U,30
q,95
b,10
M,5
O,11
Q,36
h,8
a,14
G,-8
S,11
F,-6
v,98
q,81
n,-2
d,-9
I,-8
P,10
g,-1
U,-4
A,83
J,-6
X,-9
v,-9
w,37
J,11
i,-4
x,10
p,55
B,12
N,74
b,-1
G,82
X,43
W,54
G,37
l,-4
i,-6
e,-9
C,34
e,10
m,36
f,-1
Y,48
s,64
m,70
A,-3
F,-4
g,12
r,-4
Q,-9
g,88
B,25
Q,47
E,21
k,-1
O,-1
n,11
u,10
N,-8
f,-2
L,23
d,-1
s,35
i,-7
d,-8
M,93
s,-5
e,-7
r,49
e,67
h,-5
A,5
x,-1
C,42
p,-1
Z,39
s,11
,932
z,81
b,56
e,-1
g,55
N,-3
n,85
o,66
F,-2
j,91
N,-1
z,-4
S,42
J,11
f,11
Y,22
E,-1
Z,54
U,32
b,43
b,-1
e,-8
Y,-1
z,91
D,12
P,-1
k,-3
V,11
S,-6
G,88
u,60
p,-9
e,13
N,73
A,-5
z,15
C,-2
O,46
N,85
s,-4
A,-3
I,-1
c,11
p,-2
t,64
v,-9
M,25
c,-6
o,95
X,-4
T,44
g,97
m,-6
B,-2
L,66
i,10
x,42
t,4
P,14
o,37
t,23
q,-8
A,-1
T,-1
y,56
e,34
Z,71
I,85
P,-7
Z,95
E,-1
l,-5
Q,8
G,37
A,67
U,81
X,63
s,-2
f,95
L,8
c,11
v,49
n,-4
k,-6
t,93
D,10
m,8
i,24
i,-4
s,-3
t,-1
D,-7
D,28
e,30
z,-1
I,-6
i,-1
x,-4
h,65
o,67
Z,11
a,10
j,-6
k,11
P,69
R,-1
H,88
Y,14
Z,27
K,-6
V,-1
M,53
R,64
S,-6
M,4
N,-2
r,71
j,14
Z,30
D,11
C,10
w,-2
Z,-1
o,-3
U,-4
Z,11
a,-4
Y,-1
h,24
j,-1
M,-2
Z,-1
i,28
J,-5
o,-1
R,-1
H,-1
z,11
C,-2
z,-1
u,-5
z,-6
E,-8
E,-6
J,57
T,95
f,-4
z,-6
X,-1
n,60
A,-1
Y,-8
d,77
f,99
v,-2
h,-2
T,-3
p,-7
v,32
Y,41
s,12
D,-4
L,11
X,-1
y,-4
g,-6
t,49
Q,-5
F,11
y,1
R,-8
r,63
Q,-1
m,10
{,83
B,49
v,55
I,58
K,93
u,-2
t,11
u,-6
q,35
q,-9
G,11
Q,88
P,-7
d,63
c,-5
z,-3
g,13
y,-9
Z,96
y,-3
g,-9
P,-1
h,85
S,-1
E,10
E,-5
t,-7
R,49
y,36
a,21
E,-6
m,3
S,-1
c,89
B,90
y,-1
U,11
A,62
t,56
G,-5
A,-8
e,-5
L,-6
u,14
D,-1
m,-1
e,10
X,52
